app_instance_id,base_app_id,env,app_type,RTO_hours,RPO_minutes,financial_impact_k_per_hour,regulatory,customer_impact,BCP_score,BCP_tier,BCP_rationale
APP_001-prod,APP_001,prod,frontend,3.75,417,0.78,False,6,5.42,Business Operational,"RTO=3.75h, RPO=417m, $impact=0.78k/hr, regulatory=False, customer_impact=6 -> BCP 5.42 (Business Operational)"
APP_001-nonprod,APP_001,nonprod,frontend,64.45,152,4.87,True,5,5.17,Business Operational,"RTO=64.45h, RPO=152m, $impact=4.87k/hr, regulatory=True, customer_impact=5 -> BCP 5.17 (Business Operational)"
APP_002-prod,APP_002,prod,frontend,37.37,67,0.62,False,7,5.24,Business Operational,"RTO=37.37h, RPO=67m, $impact=0.62k/hr, regulatory=False, customer_impact=7 -> BCP 5.24 (Business Operational)"
APP_002-nonprod,APP_002,nonprod,frontend,17.43,860,172.87,True,9,6.53,Business Critical,"RTO=17.43h, RPO=860m, $impact=172.87k/hr, regulatory=True, customer_impact=9 -> BCP 6.53 (Business Critical)"
APP_003-prod,APP_003,prod,frontend,50.87,509,0.42,False,5,4.59,Business Operational,"RTO=50.87h, RPO=509m, $impact=0.42k/hr, regulatory=False, customer_impact=5 -> BCP 4.59 (Business Operational)"
APP_003-nonprod,APP_003,nonprod,frontend,8.49,166,245.46,False,5,6.32,Business Operational,"RTO=8.49h, RPO=166m, $impact=245.46k/hr, regulatory=False, customer_impact=5 -> BCP 6.32 (Business Operational)"
APP_004-prod,APP_004,prod,frontend,53.08,786,780.66,False,9,6.47,Business Operational,"RTO=53.08h, RPO=786m, $impact=780.66k/hr, regulatory=False, customer_impact=9 -> BCP 6.47 (Business Operational)"
APP_004-nonprod,APP_004,nonprod,frontend,60.06,902,279.79,False,7,5.89,Business Operational,"RTO=60.06h, RPO=902m, $impact=279.79k/hr, regulatory=False, customer_impact=7 -> BCP 5.89 (Business Operational)"
APP_005-prod,APP_005,prod,frontend,5.21,351,1.44,True,5,5.44,Business Operational,"RTO=5.21h, RPO=351m, $impact=1.44k/hr, regulatory=True, customer_impact=5 -> BCP 5.44 (Business Operational)"
APP_005-nonprod,APP_005,nonprod,frontend,9.07,421,34.89,False,7,6.03,Business Operational,"RTO=9.07h, RPO=421m, $impact=34.89k/hr, regulatory=False, customer_impact=7 -> BCP 6.03 (Business Operational)"
