source,target,source_type,target_type,dependency_type,data_flow_score,weight
APP_001-prod,SRV-P020,application,server,asynchronous,6,4.752
APP_001-prod,DB-P028,application,database,near-real-time,2,4.652
APP_001-prod,APP_186-nonprod,application,application,asynchronous,8,4.952
APP_001-prod,SRV-P031,application,server,fallback,1,3.652
APP_001-nonprod,SRV-N059,application,server,asynchronous,7,4.702
APP_001-nonprod,SRV-N085,application,server,batch,5,4.202
APP_001-nonprod,SRV-N124,application,server,asynchronous,8,4.802
APP_001-nonprod,DB-N027,application,database,asynchronous,2,4.202
APP_001-nonprod,APP_013-nonprod,application,application,near-real-time,2,4.502
APP_001-nonprod,APP_067-nonprod,application,application,asynchronous,1,4.102
APP_001-nonprod,APP_084-nonprod,application,application,synchronous,10,5.602
APP_001-nonprod,SRV-N132,application,server,fallback,1,3.502
APP_002-prod,SRV-P147,application,server,synchronous,6,5.244
APP_002-prod,APP_093-nonprod,application,application,asynchronous,5,4.544
APP_002-prod,APP_209-prod,application,application,asynchronous,6,4.644
APP_002-prod,SRV-P145,application,server,fallback,1,3.544
APP_002-nonprod,SRV-N005,application,server,batch,2,4.718
APP_002-nonprod,SRV-N187,application,server,asynchronous,9,5.718
APP_002-nonprod,SRV-N073,application,server,informational,5,4.718
APP_002-nonprod,APP_243-nonprod,application,application,batch,6,5.118
APP_002-nonprod,APP_089-nonprod,application,application,near-real-time,8,5.918
APP_002-nonprod,APP_212-nonprod,application,application,asynchronous,7,5.518
APP_002-nonprod,SRV-N150,application,server,fallback,1,4.318
APP_003-prod,SRV-P160,application,server,asynchronous,5,4.154
APP_003-prod,DB-P022,application,database,batch,2,3.554
APP_003-prod,APP_233-nonprod,application,application,asynchronous,7,4.354
APP_003-prod,APP_036-nonprod,application,application,near-real-time,10,4.954
APP_003-prod,SRV-P099,application,server,fallback,1,3.154
APP_003-nonprod,SRV-N028,application,server,synchronous,7,5.992
APP_003-nonprod,DB-N065,application,database,asynchronous,7,5.392
APP_003-nonprod,DB-N020,application,database,asynchronous,2,4.892
APP_003-nonprod,APP_245-nonprod,application,application,informational,3,4.392
APP_003-nonprod,SRV-N154,application,server,fallback,1,4.192
APP_004-prod,SRV-P137,application,server,asynchronous,4,5.182
APP_004-prod,SRV-P124,application,server,fallback,1,4.282
APP_004-nonprod,SRV-N034,application,server,informational,5,4.334
APP_004-nonprod,SRV-N139,application,server,batch,7,4.834
APP_004-nonprod,SRV-N199,application,server,asynchronous,1,4.534
APP_004-nonprod,DB-N067,application,database,asynchronous,7,5.134
APP_004-nonprod,SRV-N179,application,server,fallback,1,3.934
APP_005-prod,SRV-P110,application,server,near-real-time,4,4.864
APP_005-prod,SRV-P124,application,server,batch,4,4.264
APP_005-prod,SRV-P098,application,server,asynchronous,2,4.364
APP_005-prod,DB-P074,application,database,synchronous,1,4.864
APP_005-prod,DB-P018,application,database,near-real-time,5,4.964
APP_005-prod,APP_044-prod,application,application,near-real-time,6,5.064
APP_005-prod,SRV-P140,application,server,fallback,1,3.664
APP_005-nonprod,SRV-N066,application,server,synchronous,2,5.318
APP_005-nonprod,SRV-N182,application,server,batch,2,4.418
APP_005-nonprod,APP_269-nonprod,application,application,synchronous,4,5.518
APP_005-nonprod,APP_004-nonprod,application,application,asynchronous,10,5.518
APP_005-nonprod,APP_107-nonprod,application,application,asynchronous,5,5.018
APP_005-nonprod,APP_163-nonprod,application,application,asynchronous,1,4.618
APP_005-nonprod,SRV-N028,application,server,fallback,1,4.018
APP_006-prod,SRV-P110,application,server,asynchronous,4,5.02
APP_006-prod,DB-P034,application,database,batch,3,4.62
APP_006-prod,APP_290-nonprod,application,application,asynchronous,1,4.72
APP_006-prod,APP_142-nonprod,application,application,informational,5,4.52
APP_006-prod,APP_204-nonprod,application,application,batch,5,4.82
APP_006-prod,SRV-P106,application,server,fallback,1,4.12
APP_006-nonprod,SRV-N143,application,server,asynchronous,6,4.362
APP_006-nonprod,SRV-N095,application,server,asynchronous,8,4.562
APP_006-nonprod,SRV-N124,application,server,near-real-time,7,4.762
APP_006-nonprod,DB-N074,application,database,asynchronous,3,4.062
APP_006-nonprod,APP_072-nonprod,application,application,batch,2,3.662
APP_006-nonprod,APP_062-nonprod,application,application,batch,10,4.462
APP_006-nonprod,APP_230-nonprod,application,application,batch,6,4.062
APP_006-nonprod,SRV-N042,application,server,fallback,1,3.262
APP_007-prod,SRV-P055,application,server,asynchronous,5,4.682
