env,wave_index,num_apps,total_fin_k_per_hour,avg_bcp,mission_critical_count
nonprod,0,21,479.55,4.977619047619047,0
nonprod,1,33,2352.47,5.38878787878788,0
nonprod,2,25,2353.95,5.338000000000001,0
nonprod,3,32,3656.8900000000003,5.4971875,0
nonprod,4,23,1350.5400000000002,5.310869565217391,0
nonprod,5,25,1417.4,5.206,0
nonprod,6,17,2033.6399999999999,5.422941176470587,0
nonprod,7,25,3891.38,5.570399999999999,0
nonprod,8,37,4892.129999999999,5.3394594594594595,0
nonprod,9,25,2344.7900000000004,5.4212,0
nonprod,10,37,2439.54,5.2737837837837835,0
prod,0,20,2495.16,5.548,0
prod,1,10,1396.03,5.200999999999999,0
prod,2,8,488.25,5.324999999999999,0
prod,3,4,383.67,5.4925,0
prod,4,18,586.46,5.441111111111111,0
prod,5,46,6995.909999999999,5.512173913043478,0
prod,6,46,4159.95,5.234347826086958,0
prod,7,70,10627.71,5.468857142857143,0
prod,8,40,2169.58,5.283250000000001,0
prod,9,54,4717.88,5.312407407407408,0
prod,10,36,3378.07,5.497222222222223,0
prod,11,42,5139.049999999999,5.326428571428572,0
prod,12,14,786.49,5.296428571428571,0
prod,13,8,834.26,4.9475,0
prod,14,2,71.06,5.525,0
prod,15,8,932.03,5.31625,0
prod,16,50,7734.52,5.479,0
prod,17,44,3338.0400000000004,5.250454545454545,0
prod,18,40,2949.1,5.253749999999999,0
prod,19,22,558.24,5.198636363636363,0
prod,20,18,966.7400000000001,5.288333333333334,0
