node,community
APP_001-prod,0
APP_001-nonprod,1
APP_002-prod,2
APP_002-nonprod,3
APP_003-prod,4
APP_003-nonprod,5
APP_004-prod,0
APP_004-nonprod,6
APP_005-prod,7
APP_005-nonprod,8
APP_006-prod,9
APP_006-nonprod,10
APP_007-prod,11
APP_007-nonprod,12
APP_008-prod,13
APP_008-nonprod,14
APP_009-prod,15
APP_009-nonprod,16
APP_010-prod,2
APP_010-nonprod,17
APP_011-prod,18
APP_011-nonprod,19
APP_012-prod,8
APP_012-nonprod,20
APP_013-prod,21
APP_013-nonprod,22
APP_014-prod,23
APP_014-nonprod,19
APP_015-prod,0
APP_015-nonprod,24
APP_016-prod,25
APP_016-nonprod,26
APP_017-prod,27
APP_017-nonprod,6
APP_018-prod,28
APP_018-nonprod,19
APP_019-prod,29
APP_019-nonprod,16
APP_020-prod,30
APP_020-nonprod,31
APP_021-prod,32
APP_021-nonprod,8
APP_022-prod,33
APP_022-nonprod,34
APP_023-prod,35
APP_023-nonprod,32
APP_024-prod,25
APP_024-nonprod,36
APP_025-prod,37
APP_025-nonprod,38
APP_026-prod,21
APP_026-nonprod,32
APP_027-prod,39
APP_027-nonprod,40
APP_028-prod,29
APP_028-nonprod,34
APP_029-prod,41
APP_029-nonprod,42
APP_030-prod,9
APP_030-nonprod,41
APP_031-prod,43
APP_031-nonprod,44
APP_032-prod,12
APP_032-nonprod,34
APP_033-prod,11
APP_033-nonprod,40
APP_034-prod,15
APP_034-nonprod,45
APP_035-prod,46
APP_035-nonprod,8
APP_036-prod,47
APP_036-nonprod,20
APP_037-prod,48
APP_037-nonprod,49
APP_038-prod,50
APP_038-nonprod,10
APP_039-prod,51
APP_039-nonprod,21
APP_040-prod,52
APP_040-nonprod,53
APP_041-prod,54
APP_041-nonprod,55
APP_042-prod,10
APP_042-nonprod,21
APP_043-prod,50
APP_043-nonprod,56
APP_044-prod,7
APP_044-nonprod,6
APP_045-prod,57
APP_045-nonprod,41
APP_046-prod,46
APP_046-nonprod,14
APP_047-prod,41
APP_047-nonprod,58
APP_048-prod,48
APP_048-nonprod,1
APP_049-prod,42
APP_049-nonprod,2
APP_050-prod,35
APP_050-nonprod,59
APP_051-prod,60
APP_051-nonprod,32
APP_052-prod,27
APP_052-nonprod,30
APP_053-prod,24
APP_053-nonprod,3
APP_054-prod,14
APP_054-nonprod,43
APP_055-prod,25
APP_055-nonprod,3
APP_056-prod,26
APP_056-nonprod,34
APP_057-prod,61
APP_057-nonprod,18
APP_058-prod,46
APP_058-nonprod,31
APP_059-prod,62
APP_059-nonprod,59
APP_060-prod,28
APP_060-nonprod,62
APP_061-prod,29
APP_061-nonprod,7
APP_062-prod,50
APP_062-nonprod,10
APP_063-prod,1
APP_063-nonprod,62
APP_064-prod,29
APP_064-nonprod,32
APP_065-prod,54
APP_065-nonprod,63
APP_066-prod,50
APP_066-nonprod,43
APP_067-prod,64
APP_067-nonprod,20
APP_068-prod,50
APP_068-nonprod,60
APP_069-prod,39
APP_069-nonprod,65
APP_070-prod,16
APP_070-nonprod,49
APP_071-prod,66
APP_071-nonprod,67
APP_072-prod,68
APP_072-nonprod,21
APP_073-prod,63
APP_073-nonprod,7
APP_074-prod,0
APP_074-nonprod,65
APP_075-prod,42
APP_075-nonprod,58
APP_076-prod,12
APP_076-nonprod,10
APP_077-prod,11
APP_077-nonprod,12
APP_078-prod,41
APP_078-nonprod,30
APP_079-prod,59
APP_079-nonprod,8
APP_080-prod,1
APP_080-nonprod,45
APP_081-prod,69
APP_081-nonprod,6
APP_082-prod,16
APP_082-nonprod,10
APP_083-prod,70
APP_083-nonprod,48
APP_084-prod,27
APP_084-nonprod,1
APP_085-prod,71
APP_085-nonprod,11
APP_086-prod,72
APP_086-nonprod,73
APP_087-prod,12
APP_087-nonprod,9
APP_088-prod,4
APP_088-nonprod,29
APP_089-prod,35
APP_089-nonprod,3
APP_090-prod,26
APP_090-nonprod,21
APP_091-prod,54
APP_091-nonprod,50
APP_092-prod,74
APP_092-nonprod,5
APP_093-prod,61
APP_093-nonprod,41
APP_094-prod,61
APP_094-nonprod,3
APP_095-prod,7
APP_095-nonprod,31
APP_096-prod,65
APP_096-nonprod,75
APP_097-prod,13
APP_097-nonprod,38
APP_098-prod,76
APP_098-nonprod,18
APP_099-prod,15
APP_099-nonprod,65
APP_100-prod,77
APP_100-nonprod,21
APP_101-prod,72
APP_101-nonprod,1
APP_102-prod,56
APP_102-nonprod,56
APP_103-prod,40
APP_103-nonprod,24
APP_104-prod,46
APP_104-nonprod,36
APP_105-prod,7
APP_105-nonprod,21
APP_106-prod,78
APP_106-nonprod,53
APP_107-prod,79
APP_107-nonprod,8
APP_108-prod,49
APP_108-nonprod,65
APP_109-prod,80
APP_109-nonprod,23
APP_110-prod,79
APP_110-nonprod,58
APP_111-prod,5
APP_111-nonprod,12
APP_112-prod,81
APP_112-nonprod,22
APP_113-prod,29
APP_113-nonprod,32
APP_114-prod,28
APP_114-nonprod,55
APP_115-prod,82
APP_115-nonprod,14
APP_116-prod,14
APP_116-nonprod,6
APP_117-prod,52
APP_117-nonprod,49
APP_118-prod,83
APP_118-nonprod,23
APP_119-prod,42
APP_119-nonprod,84
APP_120-prod,18
APP_120-nonprod,42
APP_121-prod,16
APP_121-nonprod,20
APP_122-prod,48
APP_122-nonprod,24
APP_123-prod,52
APP_123-nonprod,21
APP_124-prod,84
APP_124-nonprod,6
APP_125-prod,0
APP_125-nonprod,67
APP_126-prod,84
APP_126-nonprod,62
APP_127-prod,26
APP_127-nonprod,10
APP_128-prod,55
APP_128-nonprod,78
APP_129-prod,43
APP_129-nonprod,20
APP_130-prod,27
APP_130-nonprod,1
APP_131-prod,52
APP_131-nonprod,67
APP_132-prod,71
APP_132-nonprod,5
APP_133-prod,48
APP_133-nonprod,63
APP_134-prod,41
